Freq.	V(n005)/(-I(R1)-I(R2))
3.54837896178029e+001	(5.95072498600856e+001dB,-6.51001782426335e+001°)
3.55655882007780e+001	(5.94801223282582e+001dB,-6.51099926685623e+001°)
3.56475753489613e+001	(5.94529538497291e+001dB,-6.51193051134420e+001°)
3.57297514970406e+001	(5.94257446183928e+001dB,-6.51281127118915e+001°)
3.58121170807054e+001	(5.93984948314449e+001dB,-6.51364125881351e+001°)
3.58946725366501e+001	(5.93712046894402e+001dB,-6.51442018561281e+001°)
3.59774183025753e+001	(5.93438743963119e+001dB,-6.51514776195298e+001°)
3.60603548171909e+001	(5.93165041594316e+001dB,-6.51582369718426e+001°)
3.61434825202181e+001	(5.92890941896350e+001dB,-6.51644769964121e+001°)
3.62268018523916e+001	(5.92616447012687e+001dB,-6.51701947665153e+001°)
3.63103132554622e+001	(5.92341559122375e+001dB,-6.51753873454476e+001°)
3.63940171721992e+001	(5.92066280440400e+001dB,-6.51800517865770e+001°)
3.64779140463923e+001	(5.91790613218091e+001dB,-6.51841851333988e+001°)
3.65620043228544e+001	(5.91514559743610e+001dB,-6.51877844196575e+001°)
3.66462884474238e+001	(5.91238122342345e+001dB,-6.51908466693941e+001°)
3.67307668669664e+001	(5.90961303377344e+001dB,-6.51933688970398e+001°)
3.68154400293786e+001	(5.90684105249800e+001dB,-6.51953481075250e+001°)
3.69003083835890e+001	(5.90406530399417e+001dB,-6.51967812963459e+001°)
3.69853723795611e+001	(5.90128581304931e+001dB,-6.51976654496691e+001°)
3.70706324682957e+001	(5.89850260484531e+001dB,-6.51979975444498e+001°)
3.71560891018335e+001	(5.89571570496279e+001dB,-6.51977745484964e+001°)
3.72417427332568e+001	(5.89292513938638e+001dB,-6.51969934206223e+001°)
3.73275938166929e+001	(5.89013093450884e+001dB,-6.51956511107415e+001°)
3.74136428073155e+001	(5.88733311713573e+001dB,-6.51937445599715e+001°)
3.74998901613479e+001	(5.88453171449053e+001dB,-6.51912707007775e+001°)
3.75863363360649e+001	(5.88172675421893e+001dB,-6.51882264570928e+001°)
3.76729817897955e+001	(5.87891826439380e+001dB,-6.51846087444299e+001°)
3.77598269819254e+001	(5.87610627351987e+001dB,-6.51804144700375e+001°)
3.78468723728990e+001	(5.87329081053851e+001dB,-6.51756405330282e+001°)
3.79341184242224e+001	(5.87047190483289e+001dB,-6.51702838245211e+001°)
3.80215655984655e+001	(5.86764958623295e+001dB,-6.51643412278183e+001°)
3.81092143592644e+001	(5.86482388501997e+001dB,-6.51578096185134e+001°)
3.81970651713242e+001	(5.86199483193132e+001dB,-6.51506858646701e+001°)
3.82851185004212e+001	(5.85916245816663e+001dB,-6.51429668270130e+001°)
3.83733748134052e+001	(5.85632679539143e+001dB,-6.51346493590521e+001°)
3.84618345782026e+001	(5.85348787574327e+001dB,-6.51257303072877e+001°)
3.85504982638182e+001	(5.85064573183637e+001dB,-6.51162065113848e+001°)
3.86393663403379e+001	(5.84780039676662e+001dB,-6.51060748043363e+001°)
3.87284392789316e+001	(5.84495190411709e+001dB,-6.50953320126917e+001°)
3.88177175518550e+001	(5.84210028796344e+001dB,-6.50839749567450e+001°)
3.89072016324527e+001	(5.83924558287824e+001dB,-6.50720004506903e+001°)
3.89968919951603e+001	(5.83638782393735e+001dB,-6.50594053029096e+001°)
3.90867891155073e+001	(5.83352704672443e+001dB,-6.50461863161232e+001°)
3.91768934701192e+001	(5.83066328733638e+001dB,-6.50323402876270e+001°)
3.92672055367204e+001	(5.82779658238923e+001dB,-6.50178640095542e+001°)
3.93577257941363e+001	(5.82492696902262e+001dB,-6.50027542690468e+001°)
3.94484547222965e+001	(5.82205448490612e+001dB,-6.49870078485645e+001°)
3.95393928022366e+001	(5.81917916824431e+001dB,-6.49706215260887e+001°)
3.96305405161014e+001	(5.81630105778149e+001dB,-6.49535920753556e+001°)
3.97218983471468e+001	(5.81342019280823e+001dB,-6.49359162661799e+001°)
3.98134667797432e+001	(5.81053661316656e+001dB,-6.49175908646774e+001°)
3.99052462993770e+001	(5.80765035925495e+001dB,-6.48986126335468e+001°)
3.99972373926543e+001	(5.80476147203469e+001dB,-6.48789783323593e+001°)
4.00894405473026e+001	(5.80186999303425e+001dB,-6.48586847178232e+001°)
4.01818562521740e+001	(5.79897596435640e+001dB,-6.48377285441331e+001°)
4.02744849972472e+001	(5.79607942868244e+001dB,-6.48161065632203e+001°)
4.03673272736306e+001	(5.79318042927838e+001dB,-6.47938155250783e+001°)
4.04603835735648e+001	(5.79027901000041e+001dB,-6.47708521780982e+001°)
4.05536543904250e+001	(5.78737521530078e+001dB,-6.47472132693829e+001°)
4.06471402187238e+001	(5.78446909023311e+001dB,-6.47228955450979e+001°)
4.07408415541138e+001	(5.78156068045783e+001dB,-6.46978957507726e+001°)
4.08347588933900e+001	(5.77865003224844e+001dB,-6.46722106317013e+001°)
4.09288927344929e+001	(5.77573719249670e+001dB,-6.46458369332875e+001°)
4.10232435765107e+001	(5.77282220871840e+001dB,-6.46187714013843e+001°)
4.11178119196822e+001	(5.76990512905895e+001dB,-6.45910107827217e+001°)
4.12125982653994e+001	(5.76698600229910e+001dB,-6.45625518252528e+001°)
4.13076031162100e+001	(5.76406487786055e+001dB,-6.45333912785593e+001°)
4.14028269758202e+001	(5.76114180581155e+001dB,-6.45035258942596e+001°)
4.14982703490976e+001	(5.75821683687239e+001dB,-6.44729524264129e+001°)
4.15939337420733e+001	(5.75529002242182e+001dB,-6.44416676319750e+001°)
4.16898176619451e+001	(5.75236141450126e+001dB,-6.44096682711604e+001°)
4.17859226170801e+001	(5.74943106582160e+001dB,-6.43769511079561e+001°)
4.18822491170172e+001	(5.74649902976837e+001dB,-6.43435129105283e+001°)
4.19787976724698e+001	(5.74356536040704e+001dB,-6.43093504516949e+001°)
4.20755687953288e+001	(5.74063011248911e+001dB,-6.42744605093986e+001°)
4.21725629986651e+001	(5.73769334145724e+001dB,-6.42388398671914e+001°)
4.22697807967323e+001	(5.73475510345066e+001dB,-6.42024853146919e+001°)
4.23672227049694e+001	(5.73181545531128e+001dB,-6.41653936481479e+001°)
4.24648892400037e+001	(5.72887445458831e+001dB,-6.41275616708752e+001°)
4.25627809196535e+001	(5.72593215954417e+001dB,-6.40889861938369e+001°)
4.26608982629308e+001	(5.72298862915960e+001dB,-6.40496640361333e+001°)
4.27592417900439e+001	(5.72004392313930e+001dB,-6.40095920255659e+001°)
4.28578120224005e+001	(5.71709810191714e+001dB,-6.39687669992013e+001°)
4.29566094826100e+001	(5.71415122666114e+001dB,-6.39271858039040e+001°)
4.30556346944868e+001	(5.71120335927857e+001dB,-6.38848452969099e+001°)
4.31548881830526e+001	(5.70825456242201e+001dB,-6.38417423464686e+001°)
4.32543704745397e+001	(5.70530489949335e+001dB,-6.37978738323704e+001°)
4.33540820963932e+001	(5.70235443464926e+001dB,-6.37532366465828e+001°)
4.34540235772742e+001	(5.69940323280645e+001dB,-6.37078276938858e+001°)
4.35541954470625e+001	(5.69645135964618e+001dB,-6.36616438924809e+001°)
4.36545982368593e+001	(5.69349888161910e+001dB,-6.36146821746360e+001°)
4.37552324789903e+001	(5.69054586595026e+001dB,-6.35669394873437e+001°)
4.38560987070082e+001	(5.68759238064354e+001dB,-6.35184127929899e+001°)
4.39571974556958e+001	(5.68463849448668e+001dB,-6.34690990700292e+001°)
4.40585292610684e+001	(5.68168427705530e+001dB,-6.34189953136666e+001°)
4.41600946603773e+001	(5.67872979871760e+001dB,-6.33680985365730e+001°)
4.42618941921120e+001	(5.67577513063863e+001dB,-6.33164057695851e+001°)
4.43639283960036e+001	(5.67282034478451e+001dB,-6.32639140624277e+001°)
4.44661978130273e+001	(5.66986551392703e+001dB,-6.32106204844805e+001°)
4.45687029854053e+001	(5.66691071164680e+001dB,-6.31565221254897e+001°)
4.46714444566099e+001	(5.66395601233787e+001dB,-6.31016160963486e+001°)
4.47744227713660e+001	(5.66100149121152e+001dB,-6.30458995298790e+001°)
4.48776384756546e+001	(5.65804722429969e+001dB,-6.29893695816042e+001°)
4.49810921167148e+001	(5.65509328845837e+001dB,-6.29320234305375e+001°)
4.50847842430478e+001	(5.65213976137188e+001dB,-6.28738582800349e+001°)
4.51887154044188e+001	(5.64918672155506e+001dB,-6.28148713585668e+001°)
